Deutsch,Allemand 
keuchen,haleter 
atmen,respirer 
stöhnen,gémir 
bringen,apporter 
sehen,voir 
Stimmengewirr,bruits de voix 
brauchen,avoir besoin de 
Weg,chemin 
lassen,laisser 
Sklave,esclave 
seufzen,soupirer 
sterben,mourir 
ächzen,gémir 
Arche,Arche 
Gefangene,prisonnier 
Schrei,cri 
schniefen,renifler 
Bewegung,mouvement 
spannungsvoll,tendu 
verkaufen,vendre 
Kapitan,Capitan 
Kontinent,Continent 
Teil,Partie 
Jubel,Jubilation 
Leben,Vie 
Pferd,cheval 
niemals,jamais 
surren,ronronner 
Atlantier,Atlante 
Bozies,Bozies 
Schüs,Schüs 
Vaterstadt,Ville natale 
enden,finissent 
gehören,appartiennent à 
merken,retenir 
paar,quelques 
Ahnung,pressentiment 
Ahrenberg,Ahrenberg 
Angst,peur 
Auto,voiture 
Praha,Praha 
Scheiße,merde 
draußen,dehors 
husten,tousser 
jetzen,jetzen 
kimmen,kimmen 
laß,laisse 
schaffen,créer 
schluchzen,sangloter 
Schuss,coup de feu 
bisen,bisen 
schwillen,gonfler 
spannungsgeladen,chargé de tension 
töten,tuer 
wimmern,gémir 
Barrikade,barricade 
Crimsons,Crimsons 
Dewiat,Dewiat 
Ehre,Honneur 
Herrin,Maîtresse 
Hintergrund,Arrière-plan 
Husten,Toux 
Mal,Mal 
Nähe,Proximité 
Ruf,Appel 
Serie,Série 
Stamm,Tribu 
Surr,Surr 
Wärter,Gardien 
bitten,demander 
klauen,voler 
leid,désolé 
letzt,dernier 
meinsen,monsen 
merken,retenir 
metallisch,métallique 
mussen,devoir 
reichen,riche 
röcheln,râler 
sanfen,doux 
Dolch,poignard 
Ende,fin 
Fem,Fem 
Funk,radio 
Gebiet,Territoire 
Gefahr,Danger 
Jubel,Jubilation 
Karsten,Karsten 
Kiano,Kiano 
Motor,Moteur 
Mutter,Mère 
Refugium,Refuge 
Schritt,Pas 
Schuld,Culpabilité 
Stille,Silence 
Stimmengemurmel,Murmures de voix 
Untertitel,Sous-titres 
Vogel,Oiseau 
Voss,Voss 
Wolk,Nuage 
abstürzen,s'écraser 
alleine,seul 
bedrohlich,menaçant 
bereien,se frotter 
brüllen,rugir 
denken,penser 
echt,vrai 
führen,mener 
genau,exact 
gewinnen,gagner 
glauben,croire 
jed,jed 
kreischen,crier 
lauen,tiède 
rein,pur 
stärkst,renforce 
wiehern,hennir 
zeigen,montrer 
zwitschern,gazouiller 